1 LTR BOTTL,,,,
HEXNUT-M14,,,,
HEXNUT-M12,,,,
1 LTR SANATIZER BODY,,,,
10TON HOOK WITHOUT MC,,,,
24 V TRANSOFERMER,,,,
2TON HOOK WITHOUT MC,,,,
3MM SCRWE,,,,
5TON HOOK WITHOUT MC,,,,
AA,,,,
AAA,,,,
ADEPTER 24 V 1.2 A,,,,
AIR VENT CUM OIL FILTER,,,,
ANCHORFASTNOR12X100,,,,
ANCHORFASTNOR12X125,,,,
ANCHORFASTNOR16MM,,,,
ANCHORFASTNOR16MM X 200,,,,
ANGLE40X5,,,,
BEARING22208,,,,
BEARING22209,,,,
BEARING22212,,,,
BEARING22214,,,,
BEARING22215,,,,
BEARING22216,,,,
BEARING22218,,,,
BEARING22220,,,,
BEARING22221,,,,
BEARING22222,,,,
BEARING22223,,,,
BEARING22224,,,,
BEARING22225,,,,
BEARING22226,,,,
BEARING22227,,,,
BEARING22228,,,,
BEARING22229,,,,
BEARING22230,,,,
BEARING22231,,,,
BEARING22232,,,,
BEARING22233,,,,
BEARING22234,,,,
BEARING22235,,,,
BEARING22236,,,,
BEARING23026,,,,
BEARING23032,,,,
BEARING23034,,,,
BEARING23948,,,,
BEARING51206,,,,
BEARING51209,,,,
BEARING6003,,,,
BEARING6006,,,,
BEARING6011,,,,
BEARING6014,,,,
BEARING6016,,,,
BEARING6205,,,,
BEARING6206,,,,
BEARING6207,,,,
BEARING6208,,,,
BEARING6209,,,,
BEARING6211,,,,
BEARING6308,,,,
BEARING6309,,,,
BRAKE,,,,
CH100,,,,
CH125,,,,
CH150,,,,
CH175,,,,
CH200,,,,
CH225,,,,
CH250,,,,
CH300,,,,
CH350,,,,
CH400,,,,
CH75,,,,
CIRCLIPA19,,,,
CIRCLIPA24,,,,
CIRCLIPA25,,,,
CIRCLIPA32,,,,
CIRCLIPA38,,,,
CIRCLIPA52,,,,
CIRCLIPB52,,,,
CO2GAS,,,,
CONNECTOR PVC RO 1/4,,,,
CRANEPART,,,,
DC CUTTING DISC,,,,
DIORED AC DC,,,,
DOWELPIN 10X50,,,,
DRILL9.5MM,,,,
DSLSYSTEM&PART,,,,
EXPENSE,,,,
"GRESE NIPPLE 1/4"" BSP",,,,
HEXBOLT-M10X20,,,,
HEXBOLT-M10X30,,,,
HEXBOLT-M12X20,,,,
HEXBOLT-M12X30,,,,
HEXBOLT-M12X85,,,,
HEXBOLT-M14,,,,
HEXBOLT-M16X100,,,,
HEXBOLT-M16X150,,,,
HEXBOLT-M16X190,,,,
HEXBOLT-M16X20,,,,
HEXBOLT-M16X200,,,,
HEXBOLT-M16X240,,,,
HEXBOLT-M16X40,,,,
HEXBOLT-M16X60,,,,
HEXBOLT-M16X70,,,,
HEXBOLT-M16X95,,,,
HEXBOLT-M20,,,,
HEXBOLT-M20X80,,,,
HEXBOLT-M24,,,,
HEXBOLT-M24X300,,,,
HEXBOLT-M25,,,,
HEXBOLT-M30,,,,
HEXBOLT-M30X320,,,,
HEXBOLT-M5,,,,
HEXBOLT-M6X20,,,,
HEXBOLT-M6X55,,,,
HEXBOLT-M8,,,,
HEXBOLT-M8X30,,,,
HEXBOLT-M8X55,,,,
HEXBOLT-M8X60,,,,
HEXNUT-M10,,,,
HEXNUT-M14,,,,
HEXNUT-M16,,,,
HEXNUT-M20,,,,
HEXNUT-M24,,,,
HEXNUT-M25,,,,
HEXNUT-M30,,,,
HEXNUT-M5,,,,
HEXNUT-M6,,,,
HEXNUT-M8,,,,
IB100,,,,
IB125,,,,
IB150,,,,
IB175,,,,
IB200,,,,
IB225,,,,
IB250,,,,
IB300,,,,
IB350,,,,
IB400,,,,
IB500,,,,
IB550,,,,
IB600,,,,
IR LED,,,,
IR MODULER-24V,,,,
ISA10010,,,,
ISA10012,,,,
ISA1006,,,,
ISA1008,,,,
ISA13012,,,,
ISA15012,,,,
ISA15016,,,,
ISA15020,,,,
ISA20016,,,,
ISA20020,,,,
ISA355,,,,
ISA356,,,,
ISA405,,,,
ISA406,,,,
ISA455,,,,
ISA456,,,,
ISA505,,,,
ISA506,,,,
ISA6010,,,,
ISA605,,,,
ISA606,,,,
ISA608,,,,
ISA6510,,,,
ISA655,,,,
ISA656,,,,
ISA658,,,,
ISA756,,,,
ISA758,,,,
ISA806,,,,
ISA808,,,,
ISA906,,,,
ISA908,,,,
JALISQ,,,,
JW,,,,
KEY 10X8,,,,
KEY 12X8,,,,
KEY 14X25,,,,
KEY 14X30,,,,
KEY 14X9,,,,
KEY 16X10,,,,
KEY 18X11,,,,
KEY 20X12,,,,
KEY 20X40,,,,
KEY 22X14,,,,
KEY 25X14,,,,
KEY 36X20,,,,
LABOUR,,,,
LN CAP 6X25,,,,
MIG CONNICALE NOZZEL,,,,
MIG SPRAY,,,,
MISCEXP,,,,
MOTOR.5 HP FLANGE MOUNTED ,,,,
MOTOR.5 HP FLANGE MOUNTED WITH BRAKE,,,,
MOTOR.75 HP FACE MOUNTED ,,,,
MOTOR.75 HP FACE MOUNTED WITH BRAKE,,,,
MOTOR3 HP FOOT ,,,,
MOTOR3 HP FOOT WITH BRAKE,,,,
MOTOR5HP1440FOOT,,,,
MOTOR5HP1440FOOTWITHBRAKE,,,,
MOTOR7.5 HP 112 FRAME FOOT,,,,
MOTOR7.5 HP 112 FRAME FOOT WITH BRAKE,,,,
OILSEAL110X140X13,,,,
OILSEAL130X170X15,,,,
OILSEAL25X42X7,,,,
OILSEAL30X42X7,,,,
OILSEAL30X52X7,,,,
OILSEAL40X60X10,,,,
OILSEAL45X60X12,,,,
OILSEAL55X70X8,,,,
OILSEAL55X80X8,,,,
OILSEAL55X85X10,,,,
OILSEAL60X80X10,,,,
OILSEAL70X90X10,,,,
OILSEAL80X100X10,,,,
OILSEAL90X120X12,,,,
OMC1,,,,
OXYGEN GAS,,,,
PIPE PVC 5 MM RO,,,,
PLAINWASHER- A18,,,,
PLAINWASHER- A22,,,,
PLAINWASHER- A27,,,,
PLANATRY GEARBOX 5TON CT,,,,
PLATETHK10,,,,
PLATETHK100,,,,
PLATETHK110,,,,
PLATETHK12,,,,
PLATETHK120,,,,
PLATETHK14,,,,
PLATETHK16,,,,
PLATETHK18,,,,
PLATETHK20,,,,
PLATETHK22,,,,
PLATETHK25,,,,
PLATETHK28,,,,
PLATETHK3,,,,
PLATETHK30,,,,
PLATETHK32,,,,
PLATETHK36,,,,
PLATETHK40,,,,
PLATETHK45,,,,
PLATETHK50,,,,
PLATETHK55,,,,
PLATETHK6,,,,
PLATETHK60,,,,
PLATETHK63,,,,
PLATETHK70,,,,
PLATETHK73,,,,
PLATETHK8,,,,
PLATETHK80,,,,
PLATETHK90,,,,
PLUG1/2 BSP,,,,
POWER COTTING JW,,,,
REQTUBE(SS)50X4,,,,
REQTUBE50X25X4THK,,,,
RO ONE SIDE THREED CUPLER,,,,
RO PIPE,,,,
ROUND10,,,,
ROUND100,,,,
ROUND1000,,,,
ROUND1005,,,,
ROUND100EN ONENINE,,,,
ROUND1010,,,,
ROUND1015,,,,
ROUND1020,,,,
ROUND1025,,,,
ROUND1030,,,,
ROUND1035,,,,
ROUND1040,,,,
ROUND105,,,,
ROUND105EN TWOFOUR,,,,
ROUND110,,,,
ROUND115,,,,
ROUND115EN ONENINE,,,,
ROUND12,,,,
ROUND120,,,,
ROUND120EN TWOFOUR,,,,
ROUND125,,,,
ROUND125 EN ONENINE,,,,
ROUND125 EN TWOFOUR,,,,
ROUND130,,,,
ROUND135,,,,
ROUND140,,,,
ROUND140EN NINE,,,,
ROUND145,,,,
ROUND150,,,,
ROUND150 EN NINE,,,,
ROUND150EN TWOFOUR,,,,
ROUND155,,,,
ROUND16,,,,
ROUND160,,,,
ROUND160 EN TWOFOUR,,,,
ROUND165,,,,
ROUND170,,,,
ROUND170EN TWOFOUR,,,,
ROUND175,,,,
ROUND18,,,,
ROUND180,,,,
ROUND180 EN TWOFOUR,,,,
ROUND185,,,,
ROUND190,,,,
ROUND195,,,,
ROUND20,,,,
ROUND200,,,,
ROUND205,,,,
ROUND210,,,,
ROUND215,,,,
ROUND220,,,,
ROUND225,,,,
ROUND225EN,,,,
ROUND230,,,,
ROUND235,,,,
ROUND240,,,,
ROUND245,,,,
ROUND25,,,,
ROUND250,,,,
ROUND250EN NINE,,,,
ROUND255,,,,
ROUND260,,,,
ROUND260EN NINE,,,,
ROUND265,,,,
ROUND265EN,,,,
ROUND265EN NINE,,,,
ROUND265EN TWOFOUR,,,,
ROUND270,,,,
ROUND270 EN NINE,,,,
ROUND270EN NINE,,,,
ROUND275,,,,
ROUND275EN NINE,,,,
ROUND280,,,,
ROUND280EN NINE,,,,
ROUND285,,,,
ROUND290,,,,
ROUND295,,,,
ROUND30,,,,
ROUND300,,,,
ROUND305,,,,
ROUND310,,,,
ROUND310EN NINE,,,,
ROUND315,,,,
ROUND320,,,,
ROUND325,,,,
ROUND330,,,,
ROUND335,,,,
ROUND340,,,,
ROUND345,,,,
ROUND35,,,,MT-CT-CASSING CASTING(CTGB)
ROUND350,,,,MT-CT-CASSING PLATE CASTING(CTGB)
ROUND350EN NINE,,,,MT-CT-MOTOR PINION(CTGB)
ROUND355,,,,MT-CT-GEAR 1(CTGB)
ROUND360,,,,MT-CT-FIRST PINION(CTGB)
ROUND360 EN NINE,,,,MT-CT-GEAR 2(CTGB)
ROUND365,,,,MT-CT-OPS(CTGB)
ROUND370,,,,MT-CT-WD PINION(CTGB)
ROUND375,,,,MT-CT-OPS BEARING COVER (FLANGE)(CTGB)
ROUND380,,,,MT-CT-FIRST PINION BEARING COVER(CTGB)
ROUND385,,,,CT-BOLT  8 X 25(CTGB)
ROUND390,,,,CT-BOLT 6 X25(CTGB)
ROUND395,,,,CT-BOLT 10 X 45(CTGB)
ROUND40,,,,CT-BEARING 6003(17X35X10)(CTGB)
ROUND400,,,,CT-BEARING 6205(25X52X15)(CTGB)
ROUND405,,,,CT-OPS CIRCLIP (A25)(CTGB)
ROUND410,,,,CT-FIP CIRCLIP (A25)(CTGB)
ROUND415,,,,CT-OIL SEAL ( 25X52X7)(CTGB)
ROUND420,,,,LA-BO-CT-CASSING CASTING(CTGB)
ROUND425,,,,LA-BO-CT-CASSING PLATE CASTING(CTGB)
ROUND430,,,,LA-TU-CT-MOTOR PINION(CTGB)
ROUND435,,,,LA-TU-CT-GEAR 1(CTGB)
ROUND440,,,,LA-TU-CT-FIRST PINION(CTGB)
ROUND440EN NINE,,,,LA-TU-CT-GEAR 2(CTGB)
ROUND445,,,,LA-TU-CT-OPS(CTGB)
ROUND45,,,,LA-TU-CT-WD PINION(CTGB)
ROUND450,,,,LA-TU-CT-SECOUND COVER(CTGB)
ROUND450EN NINE,,,,LA-TU-CT-OPS BEARING COVER (FLANGE)(CTGB)
ROUND455,,,,LA-TU-CT-FIRST PINION BEARING COVER(CTGB)
ROUND460,,,,LA-KEYWAY-CT-MOTOR PINION(CTGB)
ROUND465,,,,LA-KEYWAY-CT-GEAR 1(CTGB)
ROUND470,,,,LA-KEYWAY-CT-FIRST PINION(CTGB)
ROUND475,,,,LA-KEYWAY-CT-GEAR 2(CTGB)
ROUND480,,,,LA-KEYWAY-CT-OPS(CTGB)
ROUND485,,,,LA-KEYWAY-CT-WD PINION(CTGB)
ROUND490,,,,LA-TEETHCUT-CT-MOTOR PINION(CTGB)
ROUND495,,,,LA-TEETHCUT-CT-GEAR 1(CTGB)
ROUND50,,,,LA-TEETHCUT-CT-FIRST PINION(CTGB)
ROUND500,,,,LA-TEETHCUT-CT-GEAR 2(CTGB)
ROUND505,,,,LA-TEETHCUT-CT-WD PINION(CTGB)
ROUND50EN,,,,LA-HT-CT-MOTOR PINION(CTGB)
ROUND50EN ONENINE,,,,LA-HT-CT-GEAR 1(CTGB)
ROUND510,,,,LA-HT-CT-FIRST PINION(CTGB)
ROUND515,,,,LA-HT-CT-GEAR 2(CTGB)
ROUND515EN NINE,,,,LA-HT-CT-OPS(CTGB)
ROUND520,,,,LA-HT-CT-WD PINION(CTGB)
ROUND525,,,,LA-GRINDING-CT-MOTOR PINION(CTGB)
ROUND525EN NINE,,,,LA-GRINDING-CT-FIRST PINION(CTGB)
ROUND530,,,,LA-GRINDING-CT-OPS(CTGB)
ROUND530EN NINE,,,,LA-GRINDING-CT-WD PINION(CTGB)
ROUND535,,,,MT ALL GB KEY(CTGB)
ROUND540,,,,
ROUND545,,,,
ROUND55,,,,
ROUND550,,,,
ROUND555,,,,
ROUND55EN ONENINE,,,,
ROUND560,,,,
ROUND565,,,,
ROUND570,,,,
ROUND575,,,,
ROUND580,,,,
ROUND585,,,,
ROUND590,,,,
ROUND595,,,,
ROUND60,,,,
ROUND60 EN ONENINE,,,,
ROUND600,,,,
ROUND605,,,,
ROUND610,,,,
ROUND615,,,,
ROUND615EN NINE,,,,
ROUND620,,,,
ROUND625,,,,
ROUND630,,,,
ROUND635,,,,
ROUND640,,,,
ROUND645,,,,
ROUND65,,,,
ROUND650,,,,
ROUND655,,,,
ROUND660,,,,
ROUND665,,,,
ROUND670,,,,
ROUND675,,,,
ROUND680,,,,
ROUND685,,,,
ROUND690,,,,
ROUND695,,,,
ROUND70,,,,
ROUND700,,,,
ROUND700 EN NINE,,,,
ROUND705,,,,
ROUND70EN,,,,
ROUND70EN ONENINE,,,,
ROUND710,,,,
ROUND715,,,,
ROUND720,,,,
ROUND725,,,,
ROUND730,,,,
ROUND735,,,,
ROUND740,,,,
ROUND745,,,,
ROUND75,,,,
ROUND75 EN ONENINE,,,,
ROUND750,,,,
ROUND755,,,,
ROUND75EN,,,,
ROUND760,,,,
ROUND765,,,,
ROUND770,,,,
ROUND775,,,,
ROUND780,,,,
ROUND785,,,,
ROUND790,,,,
ROUND790EN NINE,,,,
ROUND795,,,,
ROUND80,,,,
ROUND800,,,,
ROUND805,,,,
ROUND810,,,,
ROUND815,,,,
ROUND820,,,,
ROUND820EN NINE,,,,
ROUND825,,,,
ROUND830,,,,
ROUND835,,,,
ROUND840,,,,
ROUND845,,,,
ROUND85,,,,
ROUND850,,,,
ROUND855,,,,
ROUND860,,,,
ROUND865,,,,
ROUND870,,,,
ROUND875,,,,
ROUND875EN NINE,,,,
ROUND880,,,,
ROUND885,,,,
ROUND890,,,,
ROUND895,,,,
ROUND90,,,,
ROUND900,,,,
ROUND905,,,,
ROUND90EN ONENINE,,,,
ROUND90EN TWOFOUR,,,,
ROUND910,,,,
ROUND915,,,,
ROUND920,,,,
ROUND925,,,,
ROUND930,,,,
ROUND935,,,,
ROUND940,,,,
ROUND945,,,,
ROUND95,,,,
ROUND95 EN TWOFOUR,,,,
ROUND950,,,,
ROUND955,,,,
ROUND960,,,,
ROUND965,,,,
ROUND970,,,,
ROUND975,,,,
ROUND980,,,,
ROUND985,,,,
ROUND990,,,,
ROUND995,,,,
ROUNDPIPE100,,,,
ROUNDPIPE140,,,,
ROUNDPIPE220,,,,
ROUNDPIPE410,,,,
ROUNDPIPE60,,,,
ROUNDPIPE80,,,,
ROUNDPIPE90,,,,
SILICON,,,,
SPWASHER-A10,,,,
SPWASHER-A12,,,,
SPWASHER-A14,,,,
SPWASHER-A16,,,,
SPWASHER-A18,,,,
SPWASHER-A20,,,,
SPWASHER-A22,,,,
SPWASHER-A27,,,,
SPWASHER-A33,,,,
SPWASHER-A8,,,,
SQBAR25,,,,
SQBAR30,,,,
SQBAR40,,,,
SQBAR50,,,,
SQTUBE180X8,,,,
SQTUBE50X5,,,,
SQTUBE72X5,,,,
SUPPLY CABLE TWO PIN,,,,
TAP SET,,,,
TOOLS,,,,
VALVE RO 24 V X 5 MM,,,,
WELDING HOLDER,,,,
WELDING ROD,,,,
wireropehoist,,,,
WIREROPEØ10FIBER6X36,,,,
WIREROPEØ12FIBER6X36,,,,
WIREROPEØ16FIBER6X36,,,,
WIREROPEØ20FIBER6X36,,,,
WIREROPEØ8FIBR6X36,,,,
COLOUR,,,,
BEARING23936,,,,
C.I.CASTING,,,,
ROUNDPIPE150,,,,
BEARING6203,,,,
WIRE 1SQX10C,,,,
HALFGEARCOUPLING101,,,,
PUSHBUTTONPENDENT8WAYSINGLE,,,,
BRAKECOIL,,,,
MOTOR 10HP1440RPMFOOT,,,,
MISCPART,,,,
GSCOVER,,,,
PSCOVER,,,,
HOOKCOVER,,,,
HOOKPULLY,,,,
HOOKNUT,,,,
HOOKCROSSHEAD,,,,
KEY 8X7,,,,
WIREROPE10MM,,,,
WIREROPE8MM,,,,
HOOK5TON,,,,
HOOK2TON,,,,
WIREROPE12MM,,,,
ROUNDPIPE120,,,,
GEARMOTOR,,,,
ROUNDPIPE170,,,,
KEY 32X22,,,,
KEY 40X28,,,,
BEARING51220,,,,
HEXBOLT-M16X30,,,,
HEXBOLT-M20X45,,,,
HEXBOLT-M10X40,,,,
LOCKNUTM85,,,,
EQPULLYDIA250WITHMACHINING,,,,
BEARING6218,,,,
3TONHOOKASSLY,,,,
CONTACTOR9AMP,,,,
CONTACTOR12AMP,,,,
TRANSFORMAR440-230V50VA2PH,,,,
MCB16AMP10KA3TP,,,,
PUSHBUTTONPENDENT4WAYSINGLE,,,,
CABLE1SQ7C,,,,
STEELCASTING,,,,
RUBBERPATTIFOR HOIST,,,,
CIRCLIPA30,,,,
CIRCLIPA35,,,,
CIRCLIPB72,,,,
CIRCLIPB55,,,,
HEXBOLT-M8X25,,,,
CH75,,,,
CH100,,,,
CH125,,,,
CH150,,,,
CH175,,,,
CH200,,,,
CH225,,,,
CH250,,,,
CH300,,,,
CH350,,,,
CH400,,,,
IB100,,,,
IB125,,,,
IB150,,,,
IB175,,,,
IB200,,,,
IB225,,,,
IB250,,,,
IB300,,,,
IB350,,,,
IB400,,,,
IB500,,,,
IB550,,,,
IB600,,,,
ISA355,,,,
ISA356,,,,
ISA405,,,,
ISA406,,,,
ISA455,,,,
ISA456,,,,
ISA505,,,,
ISA506,,,,
ISA605,,,,
ISA606,,,,
ISA655,,,,
ISA656,,,,
ISA608,,,,
ISA658,,,,
ISA6010,,,,
ISA756,,,,
ISA806,,,,
ISA906,,,,
ISA758,,,,
ISA1006,,,,
ISA6510,,,,
ISA808,,,,
ISA908,,,,
ISA1008,,,,
ISA10010,,,,
ISA10012,,,,
ISA13012,,,,
ISA15012,,,,
ISA15016,,,,
ISA15020,,,,
ISA20016,,,,
ISA20020,,,,
"EH THRUSTOR BRAKE, DIA 200MM, Braking Torque- 32 Kg-m, Thrust - 34Kg",,,,
"EH THRUSTOR BRAKE, DIA 200MM, Braking Torque- 16 Kg-m, Thrust - 16Kg",,,,
"ROTARY GEARED LIMIT SWITCH, RATIO-1:50,2 NC CONTACT",,,,
"TWO WAY LEVER TYPE LIMIT SWITCH ,2NC CONTACT",,,,
"GRAVITY TYPE LIMIT SWITCH,2 NC CONTACT",,,,
MOTOR 1.5 HP FOOT MOUNTED 960RPM WITH BRAKE,,,,
HALFGEARCOUPLING100,,,,
HALFGEARCOUPLING102,,,,
BRAKEDRUMCOUPLINGØ200,,,,
BRAKEDRUMØ200,,,,
ELECTRICAL PARTS,,,,
M5,,,,
M6,,,,
M8,,,,
M10,,,,
M12,,,,
M14,,,,
M16,,,,
M20,,,,
M24,,,,
VFD,,,,
